Имя пользователя: WSM03-ICASU-56\Администратор	
Дата проведения проверки: 01.08.2019 16:58:29	
	
Номер Политики;Путь;Эталонное Значение;Текущее Значение;Статус;	
5_071;HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer:NoPinningToTaskbar;1;Параметр отсутствует;Не успех;	
5_072;HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer:TaskbarNoPinnedList;1;Параметр отсутствует;Не успех;	
5_073;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:TaskbarLockAll;1;0;Не успех;	
5_074;HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer:AddSearchInternetLinkInStartMenu;0;Параметр отсутствует;Не успех;	
5_075;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:TaskbarNoAddRemoveToolbar;1;0;Не успех;	
5_076;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoTrayContextMenu;1;0;Не успех;	
5_077;HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer:NoPinningToDestinations;1;Параметр отсутствует;Не успех;	
5_078;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:TaskbarNoResize;1;0;Не успех;	
5_079;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:TaskbarNoDragToolbar;1;0;Не успех;	
5_080;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:TaskbarNoRedock;1;0;Не успех;	
5_081;HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer:NoRemoteDestinations;1;Параметр отсутствует;Не успех;	
5_082;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoToolbarsOnTaskbar;1;0;Не успех;	
5_083;HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer:NoSystraySystemPromotion;1;Параметр отсутствует;Не успех;	
5_084;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:TaskbarNoNotification;1;0;Не успех;	
5_085;HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer:NoBalloonFeatureAdvertisements;1;Параметр отсутствует;Не успех;	
5_086;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:TaskbarNoThumbnail;1;0;Не успех;	
5_087;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:HideSCAVolume;1;0;Не успех;	
5_088;HKEY_CURRENT_USER\SOFTWARE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:HideSCANetwork;1;Параметр отсутствует;Не успех;	
5_089;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:HideSCAPower;1;0;Не успех;	
5_090;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoNetworkConnections;1;0;Не успех;	
5_091;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoStartMenuEjectPC;1;0;Не успех;	
5_092;;;;Параметр отсутствует в ОС;	
5_093;;;;Параметр отсутствует в ОС;	
5_094;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoCloseDragDropBands;1;0;Не успех;	
5_095;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoMovingBands;1;0;Не успех;	
5_096;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:DisablePersonalDirChange;1;0;Не успех;	
5_097;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Windows\Sidebar:TurnOffSidebar;1;1;Успех;	
5_098;HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:NoAutoUpdate;1;0;Не успех;	
5_099;HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\setup\recoveryconsole:securitylevel;0;Параметр отсутствует;Не успех;	
5_100;HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\setup\recoveryconsole:setcommand;0;Параметр отсутствует;Не успех;	
8_001;HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\RemovableStorageDevices:Deny_All;1;Параметр отсутствует;Не успех;	
9_001;HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa:SCENoApplyLegacyAuditPolicy;1;1;Успех;	
9_002;AuditPol /backup /file:c:\auditpolicy.csv | Проверка учетных данных,{0CCE923F-69AE-11D9-BED3-505054503030},;0;0;Успех;	
9_003;AuditPol /backup /file:c:\auditpolicy.csv | Служба проверки подлинности Kerberos,{0CCE9242-69AE-11D9-BED3-505054503030},;0;0;Успех;	
9_004;AuditPol /backup /file:c:\auditpolicy.csv | Операции с билетами службы Kerberos,{0CCE9240-69AE-11D9-BED3-505054503030},;0;0;Успех;	
9_005;AuditPol /backup /file:c:\auditpolicy.csv | Другие события входа учетных записей,{0CCE9241-69AE-11D9-BED3-505054503030},;1;0;Не успех;	
9_006;AuditPol /backup /file:c:\auditpolicy.csv | Управление учетными записями,{0CCE9235-69AE-11D9-BED3-505054503030},;3;0;Не успех;	
9_007;AuditPol /backup /file:c:\auditpolicy.csv | Управление учетной записью компьютера,{0CCE9236-69AE-11D9-BED3-505054503030},;0;0;Успех;	
9_008;AuditPol /backup /file:c:\auditpolicy.csv | Управление группой приложений,{0CCE9239-69AE-11D9-BED3-505054503030},;0;0;Успех;	
9_009;AuditPol /backup /file:c:\auditpolicy.csv | Управление группой распространения,{0CCE9238-69AE-11D9-BED3-505054503030},;1;0;Не успех;	
9_010;AuditPol /backup /file:c:\auditpolicy.csv | Управление группой безопасности,{0CCE9237-69AE-11D9-BED3-505054503030},;0;0;Успех;	
9_011;AuditPol /backup /file:c:\auditpolicy.csv | Другие события управления учетной записью,{0CCE923A-69AE-11D9-BED3-505054503030},;1;0;Не успех;	
Успех - 11	
Не успех - 111	
Параметр отсутствует - 5	
